tier,division,puuid,leagueId,leaguePoints,wins,losses,hotStreak,veteran,freshBlood,inactive
SILVER,I,GHhFbVt6pPHw8JCQWhSpwoRgKOXwLaS1KDx35vwO2ZkdRwB3MZaW56ReMFI0l5xT5-sVrJVbb7Jg3Q,048cb2a0-850c-4e2d-999f-033dc45b6483,7,5,6,False,False,False,False
SILVER,II,rdSv-5Q2Qab_jsmOiC_ijX4LFyjhXIrgBuKX3Kx6jIWQpUqqOFmqf1iDJz_qOKL_cZ5HryVIAd9m9g,39798f8c-9b42-4827-af17-2c5a3898e1b4,64,11,9,False,False,False,False
SILVER,III,RgLOhl1q7un1vOJSsgxI_BL0rQp9GljC9VdfC9ciQV0hnjNmA_hXFHu3282iy8O-HBPb9x9wAh8ipQ,15cde2bf-2236-4903-978a-0dda0c131acd,90,27,19,False,False,False,False
SILVER,III,LltfC0JTjWYHfuHg69VvHhZljLpCJGDlEbM4rHGRPxQ6YCp6FPUjhUBgqlFdel8kebMguRysnnvdSw,4080b6f6-90c0-49bf-96cd-e785f4a5895e,40,3,3,False,False,False,False
SILVER,I,_ErUeg-aHQsuMCoJssd9xjEzNBFnmuW80a0WW0lPYkJa63y0cjMGxpmJHZUK49jGOVttT2DFNQNZpA,63bd1173-3ffd-4252-866a-f42438f9fc67,70,3,3,False,False,False,False
SILVER,II,sKlXj_aA3N3g0EvbN67IwXiRrhw04d__cNSLi6MliYJoBT2OU9O3m7LwWcv_inoISde8x4Msl8rzKw,cb7edcf8-2442-480e-861a-487b87f233fc,51,23,34,False,False,False,False
SILVER,I,F0744L_XDQ3xs0nQCHLQKP0GSq3BhllewqKKHb-8NSJA0_1LfhLtvGFB9K1ttoxR1DA6Q1bC8wQ6Zg,c511b37c-e60a-4a9d-bce0-9e825b6cc128,40,2,9,False,False,False,False
SILVER,II,v9R2OcEnu_kuvWGI7fDfRHzmkOn_INLAqd_1o83MvOjfK8AKbtFipUbNZM_YIBW0YNcKCWY9ofxvMw,360186cf-9b0e-40ca-bc27-889944dc23c5,23,27,30,False,False,False,False
SILVER,III,jScnd4a3oLzb-OA07veC8576hS8bKKWffbS-FzUOCNb7o1hQtAiKLmqzU5Rjl6L8zMgBplwpq1IOxQ,34362159-c30d-46b8-bf26-436e2aeba925,62,5,7,False,False,False,False
SILVER,II,uzf4vTqDfiF301hIGv-Os_vYCTPHJULRzKy0d5bt7_bSXplDQTVcxtaypxPZlOclOdoA8lYm0W9nQA,b6960153-9d0c-4dea-9fa8-9beeaf3ebfcc,14,30,38,False,False,False,False
