matchId,gameMode,queueId,gameDuration,tier,platform
VN2_1240808882,CLASSIC,440,1643,BRONZE,br1
VN2_1229032792,CLASSIC,420,1732,BRONZE,br1
VN2_1218596877,CLASSIC,420,2177,BRONZE,br1
VN2_1254456965,URF,900,1231,BRONZE,br1
VN2_1253405529,ARAM,450,1143,BRONZE,br1
VN2_1248559031,CLASSIC,420,1884,BRONZE,br1
VN2_1243691755,CLASSIC,420,1628,BRONZE,br1
VN2_1230905246,CLASSIC,420,2631,BRONZE,br1
VN2_1236975656,URF,900,1575,BRONZE,br1
VN2_1233476574,URF,900,988,BRONZE,br1
VN2_1215362452,CLASSIC,420,2000,BRONZE,br1
VN2_1143591258,CLASSIC,420,1465,BRONZE,br1
VN2_1215806908,CLASSIC,420,1810,BRONZE,br1
VN2_1251127434,CLASSIC,440,1728,BRONZE,br1
VN2_1242921149,URF,900,1275,BRONZE,br1
VN2_1189989916,URF,900,1012,BRONZE,br1
VN2_1230334550,CLASSIC,440,3118,BRONZE,br1
VN2_1247683868,CLASSIC,420,2953,BRONZE,br1
VN2_1231328188,CLASSIC,420,2242,BRONZE,br1
VN2_1181774993,CLASSIC,420,1482,BRONZE,br1
VN2_1247735869,CLASSIC,440,2235,BRONZE,br1
VN2_1253113977,CLASSIC,420,1582,BRONZE,br1
VN2_1243426397,CLASSIC,420,2056,BRONZE,br1
VN2_1247411585,CLASSIC,420,1576,BRONZE,br1
VN2_1218600339,CLASSIC,420,2805,BRONZE,br1
VN2_1244973979,URF,900,276,BRONZE,br1
VN2_1252318603,CLASSIC,420,993,BRONZE,br1
VN2_935269973,CHERRY,1700,1643,BRONZE,br1
VN2_1245197213,URF,900,1176,BRONZE,br1
VN2_1245313814,CLASSIC,420,1701,BRONZE,br1
VN2_1244339522,CLASSIC,420,2620,BRONZE,br1
VN2_1251256133,CLASSIC,420,2074,BRONZE,br1
VN2_1230554926,CLASSIC,420,1566,BRONZE,br1
VN2_1193468539,CLASSIC,420,2498,BRONZE,br1
VN2_1209408066,CLASSIC,420,1207,BRONZE,br1
VN2_1209277379,CLASSIC,420,2332,BRONZE,br1
VN2_1229854510,CLASSIC,420,2540,BRONZE,br1
VN2_1176799090,URF,900,2039,BRONZE,br1
VN2_1246285388,URF,900,1030,BRONZE,br1
VN2_1194845457,CLASSIC,420,2149,BRONZE,br1
VN2_1247484376,CLASSIC,420,1419,BRONZE,br1
VN2_1244534020,CLASSIC,420,1003,BRONZE,br1
VN2_1244788136,CLASSIC,420,1739,BRONZE,br1
VN2_1229139078,CLASSIC,420,1377,BRONZE,br1
VN2_1247099011,SWIFTPLAY,480,1713,BRONZE,br1
VN2_1222967523,CLASSIC,420,1608,BRONZE,br1
VN2_1254366076,CLASSIC,400,1355,BRONZE,br1
