tier,division,puuid,leagueId,leaguePoints,wins,losses,hotStreak,veteran,freshBlood,inactive
BRONZE,IV,wNnZRbRdLa2lbUjG05c569vwP80I_soWQtiXqKD4kpBy9nFmjIG4NCqRnsU8vigrxOq1w0mxiz57YQ,c97e5b49-af58-4dcb-acd0-34970450a51f,59,19,22,False,False,False,False
BRONZE,I,kxARt8V9ZSTLo9phJaSCiOJE_Q_qa0MceQN33yDosC3eOJOAHWbJwJs6I_0j8bro5la5RAk-yIEt7A,9fc1db23-a2bf-48ee-bf01-7ea4c97f40cf,89,44,40,False,False,True,False
BRONZE,I,PXz8q2h3VlUOQXoMYckj-AOMitcMjyub79Pm9h5dxYhQFNNmQ65RKFNPmeg_FusBMIqG68HSQltSWA,d9c74d0f-53fe-4cff-bec6-9e990fea7b74,57,18,17,False,False,False,False
BRONZE,I,3X3D4iNtktJMvFbEwNpwkYogICsLfxmUuk0KZ0NNkW_hx87_dUxYc4Chn6qo9I5QndZEru6mYJ_R7Q,150d2fb8-4477-4c7b-95c0-433ccbe4cf4f,10,2,3,False,False,False,False
BRONZE,IV,Dt_aBrAkbLpaPd1YDZXBpzdMSJZnr1Y-zZK0PZjtkAUJWUe8s6B7Ys7DhGYX9TaD0dyjNo1o3NCpHA,cb0e65aa-abc4-4016-bf04-acb57cefb048,51,3,2,False,False,False,False
BRONZE,III,5YJBJ7ob1AVjnq5SKDSvVNCFNPFCNlU_NbeIwAI9qbEg9XCwRhY60rOYtiOMrDz7h-9HPKJQ7Aylzg,a2a6b7ec-8b42-44db-b999-5d26886d3ac7,34,43,45,False,False,False,False
BRONZE,IV,Aj8fkotzsHfVsQyDnw7E_7R-j3E0EJiJJKzP92XO_yz_ak9oHTylLlKM6b9Y9u697wysDmKCPLq7tg,1e8f02f2-042d-41e1-979f-e944b13a5494,0,5,9,False,False,False,False
BRONZE,II,8f6oE1qdk_LIu9tdQxwBIXqHPMGCd0tqEmr2RpWYUeIp7vAg5FBUMsbZkMNjJsLxMeJXlvdEwxv2WA,fdcf2f2c-3402-46cc-a80f-00105a0fe4cd,11,17,17,False,False,False,False
BRONZE,III,ctlin-HOPFXFFvv02LGFvqgg-1pyaXnOiHGsYTO7ezRTy66bwCWrwxkiw7cL39WtoB6eD5PYPG8rrQ,d46ba619-f489-4673-b827-50364807cdde,61,16,24,False,False,False,False
BRONZE,IV,sppddfA1fBbmiFDeSktEMkBP6P6gvUA2rsqyR7PgRrV0Wq5cas183yjYquSFRnp0by6m7m5_gqJ7fQ,5bd17506-5d71-4d0b-ba0b-62336ab4acde,51,3,2,False,False,False,False
BRONZE,IV,7-TUdJG6JxOSMW916bVJxPcrZJUUbnBAr-8xRbW2n1L4F99OyPbi_z5IyVCTQDmFtcqkMeCbRQfdiw,a3b506ad-cde7-426c-8de0-ca42553ce85a,72,9,12,False,False,False,False
BRONZE,II,dUEY_LZqWneeEHpi_RI02-_8nwfYii5kwxk0kq7netxyKRups_Gxv42e_2igrm_o8UTapcuTjGLVqw,3dfb3993-39cc-4ab8-9097-cf326e0cba7a,50,1,5,False,False,False,False
BRONZE,IV,L6UYlT60oXhrL-x7DSbrVqu24g1EXSfT9yNiUD5iQq0nXPAPiOjuW0YHgWZZUwQjFOC-9cd5ojYKUA,ef149632-88ef-476f-b635-bb45d8dbb4c0,0,2,5,False,False,False,False
BRONZE,IV,KKnZW1AEc6YmbpFWBSXnJKIgj5Ge00_6sAIiFdpAF1RY90PiA_0MjsfVPV-oojT7ePNjAaaltToCrg,ce19277e-03c0-48c4-a1da-064e3d513fb0,84,4,1,False,False,True,False
BRONZE,III,Jlz5itb_fDRSq4H6UkJXSsDcBIxU39uRzdV8LCQ1xe31uVtUtGY6zIxdiGG3bfXA7_U6A-dxi-RtxA,aa0b2d79-e4a3-4d1e-b114-c411dfa2fe97,46,14,16,False,False,False,False
